Bidder Company
"Verdane Capital; Summa Equity AB; Prosus N.V.; Kinnevik BV; Rasmussen Group"
"Kinnevik AB; Verdane Capital; Summa Equity AB"
Bluefront Equity AS
"Cinven Partners LLP; Ontario Teachers' Pension Plan"
"Qualitas Equity Partners SA; Access Capital Partners"
Agilitas Private Equity LLP
"BlackRock, Inc.; Luxor Capital Group, LP; B-FLEXION Group Holdings SA"
IDC Ventures
Core Sustainability Capital
"Kistefos AS; Meneldor BV; Andenesgruppen AS"
Saari Partners Oy
Saari Partners Oy
Executive Capital A/S
Monterro Software Investment AB
Main Capital Partners B.V.
Niam AB
Omnes Capital
Catacap Management A/S
"Skagerak Energi AS; Wiski Capital; Antler Global; Sandwater"
"Octopus Ventures Limited; Spintop Ventures"
"Existing Management; VIA Equity A/S"
"Ferd Venture; Sandwater"
Flerie Invest AB
Driv Kapital Forvaltning AS
Novedo Holding AB
Intera Equity Partners Oy
Longship AS
Sandbrook Capital
Litorina Capital Advisors AB
"Bain Capital, LP.; Security Trading Oy; Corbis SA; Fennogens Investments SA"
"Creandum; BoxGroup; Skyfall Venture; Lowercarbon Capital LLC; MCJ Capital Partners LLC"
Rebellion Capital
Alder II AB
Pamica 2
Seven Seven Six
"Verve Ventures ; Flashpoint Venture Capital; IDC Ventures ; Elevator Ventures"
Bluefront Equity AS
"Nordic Capital; Altor Equity Partners AB; Sebastian Knutsson (Private Investor); Silvana Imam; Siduri Poli"
CapMan Plc
Mutares SE & Co. KGaA
Seventure Partners SA
Helix Kapital AB
Thoma Bravo, LLC
Acathia Capital GmbH
"KKR & Co. Inc. ; Oslo Pensjonsforsikring AS"
"eEquity AB; Lena Apler (Private Investor); Ludwig Mattsson (Private Individual); Victor Hielte (Private Individual); Magnus Emilson (Private Individual); William Olsson (Private Individual); Gustav Eriksson (Private Individual)"
"Blue Equity, LLC; Circularity Capital LLP; AXA IM Alts"
Apollo Global Management, LLC
Hasko Invest AB
"General Catalyst; Speedinvest GmbH; Giant Ventures Global LLP; KHP Ventures"
Insight Partners
AURELIUS Equity Opportunities SE & Co. KGaA
Starboard Partners
Verdane Capital
Standout Capital
Mutares SE & Co. KGaA
Fidelio Capital AB
Ratos AB
"Schlumberger Limited; Danske Capital; Institute for Energy Technology; Nordea Asset Management Holding AB; AP Ventures LLP; Stratel AS; Nysno Climate Investments AS; StartupLab AS; SPARX Mirai Creation Fund"
CapMan Plc
Pamica 2
Bluefront Equity AS
Susquehanna Growth Equity, LLP
General Atlantic Service Company, L.P.
Dansk Ejerkapital A/S
Dansk Ejerkapital A/S
"Headline; Creandum; Energize Ventures LLC; ByFounders LLC; Pale Blue Dot Investments AB"
"Gaztransport & Technigaz SA; TRUMPF Venture GmbH"
"Headline; 83 North Ltd.; Chr. Augustinus Fabrikker A/S; Highland Europe (UK) LLP; Saban Ventures; Heartcore Capital"
"Alantra; Alfabeat; Inovo Venture Partners; SMOK Ventures; Level2 Ventures"
"Apax Partners LLP; Lugard Road Capital, LP"
West Hill Capital LLP
"M12; Griffin Gaming Partners"
Tangen Industrikapital AB
"Industrifonden AB; Flerie Invest AB; 3B Future Health Ventures SARL"
HighBrook Investors
Cinven Partners LLP
"AB Volvo; Hon Hai Precision Industry Co., Ltd.; Mirabaud Group; Atomico; Lifeline Ventures Oy; EQT Ventures Fund"
Rebellion Capital
Trill impact AB
"Verdane Capital; Verdane Idun I"
"Swisscom AG; Swisscom Ventures; Inbox Capital AB; ParTech, Inc; CNI Advisory AB"
Flerie Invest AB
"Deutz AG; Vaekstfonden; Breakthrough Energy Ventures LLC"
"Kingspan Group Plc; Swedbank AB; Swedbank Robur AB; AMF Pensionsforsakring AB; GIC Private Limited; Altor Equity Partners AB; Marcegaglia SpA; Schaeffler AG; FAM AB; Daniel Ek (Private Investor); Cristina Stenbeck (private investor); IMAS Foundation; Vargas Holding AB"
Verdane Capital
"Kongsberg Gruppen ASA; Energy Impact Partners LLC; Arosa Capital Management LP; Equinor Energy Ventures; Nysno Climate Investments AS; Future Energy Ventures Management GmbH"
"Unigestion SA; Simac Techniek NV; Existing Management; Accent Equity Partners AB; Gerlas van den Hoven (private investor)"
"VF Venture; North-East Venture A/S; Thomas Visti (Private Investor); Naver Z; Brett Bibby (Private Individual)"
"Nordic FoodTech VC; Tesi"
Litorina Capital Advisors AB
EQT Partners AB
GRO Capital A/S
"TD Veen AS; Middelborg AS ; Q Capital AS; Lighthouse Reef AS"
Standard Investment Management B.V.
Accent Equity Partners AB
Sequoia Capital China
Flerie Invest AB
"Dawn Capital LLP; MMC Ventures Limited; S16VC Limited"
CEMEX Ventures
Korona Invest Oy
"Bayern Kapital GmbH; Finnish Industry Investment Ltd; Tencent Holdings Ltd.; MIG Fonds; Open Ocean Capital; World Fund Pte Limited; OurCrowd Management Limited; Santo Venture Capital GmbH; Maki Ventures Oy; Matadero QED, LLC; Tofino GmbH; Salvia GmbH; Vsquared Ventures; EIC Fund"
"Ontario Teachers' Pension Plan; Accel; Creandum; Project A Ventures I, L.P.; Index Ventures SA"
"Horizons Ventures Limited; 2150 UK Limited; ETF Partners LLP; Blume Equity; Future Five"
Axxelerator Capital AS
Verdane Capital
Foresight Group Holdings Limited
Amadeus Capital Partners Limited
Axcel Management A/S
Vitruvian Partners LLP
Nordic Capital
"nxt2b; Beijer Ventures AB; Segulah Medical Acceleration AB; Landegren Gene Technology AB"
Adelis Equity Partners AB
Axcel Management A/S
"Commonwealth Bank of Australia; Silver Lake Partners; Canada Pension Plan Investment Board; Sequoia Capital; Bestseller A/S; Sebastian Siemiatkowski (Private Individual); Niklas Adalberth (Private Individual); Victor Jacobsson (Private Individual); Mubadala Investment Company PJSC"
One Equity Partners LLC
CapMan Plc
"Sofinnova Partners; Novo Seeds; European Circular Bioeconomy Fund (ECBF)"
Intera Partners Oy
"Endeit Capital; INKEF Capital; SmartFin Capital; Maki Ventures Oy; Vendep Capital Oy; Evli Growth Partners"
Nordic FoodTech VC
Verdane Capital
Novedo Holding AB
Rebellion Capital
"Finnish Industry Investment Ltd; EAB Group Plc"
Hasko Invest AB
HitecVision AS
"Luxor Capital Group, LP; VNV Global AB; Nysno Climate Investments AS; Bring Ventures AS; Ebay Ventures LLC"
Nordic Capital
"HarbourVest Partners, LLC; Celero Capital; CorteCo AB"
"HarbourVest Partners, LLC; Celero Capital; CorteCo AB"
"HarbourVest Partners, LLC; Celero Capital; CorteCo AB"
"Existing Management; Valedo Partners"
"CVC Advisers Ltd; Nordic Capital"
"Existing Management; Next Wave Partners LLP ; Ara Partners"
"Triton Partners; Triton Smaller Mid-Cap II Fund"
"Axcel Management A/S; Existing Management"
Adelis Equity Partners AB
"Nordstjernan AB; Alfven & Didrikson AB; Creades AB"
"Helen Ventures; Curiosity Venture Capital BV"
Adelis Equity Partners AB
Ferd Venture
Agilitas Private Equity LLP
One Equity Partners LLC
CapMan Plc
Altor Equity Partners AB
Great Hill Partners LP
"Industrifonden AB; Chalmers Ventures AB; Bonnier Ventures; Nina Capital; Norrsken VC; Navigare Ventures AB; Hillclimber Holding AB"
Bluefront Equity AS
"3i Group Plc; Kite Bidco Aps"
Hawk Invest AS
Segulah Advisor AB
Monterro 1 AB
Erhvervsinvest Management A/S
"SEB Venture Capital; Ramsbury Invest AB; Nicklas Storakers (Private investor)"
Permira Advisers LLP
"CVC Advisers Ltd; CVC Capital Partners Fund VIII"
Ratos AB
AnaCap Financial Partners Limited
Nalka Invest AB
"Lifeline Ventures Oy; Tesi"
Altor Equity Partners AB
The Riverside Company
Verdane Capital
"Existing Management; Axxelerator Capital AS"
"Perwyn; THI Investments GmbH"
"PKA A/S; Vaekstfonden; Eir Ventures"
"Ferd Invest ; The Ecosystem Integrity Fund; Blue Bear Capital LLC"
"Cherry Ventures Management GmbH; Felix Capital; EQT Ventures Fund; Mubadala Capital; DST Global Ltd"
Procuritas AB
"Ventech; Seed Capital Denmark; Chr. Augustinus Fabrikker A/S; ATP Gruppen"
"Mubadala Investment Company PJSC; EQT AB"
"Vendis Capital; Equip Capital AS"
"Cargill, Incorporated; A.P. Moller Holding A/S; Providence Strategic Growth Capital Partners L.L.C."
Apax Partners LLP
Novedo Holding AB
Novedo Holding AB
Polaris Private Equity
"Level Equity Management, LLC; Icebreaker Oy"
Juuri Partners Oy
FSN Capital Partners AS
Altor Equity Partners AB
Rebellion Capital
FSN Capital Partners AS
Thoma Bravo, LLC
Eurazeo SA
Trill impact AB
Adelis Equity Partners AB
"Ahlstrom Capital Oy; Nidoco AB"
"Siemens AG; ABB Ltd; PKA A/S; Arendals Fossekompani ASA; Agder Energi Venture AS; Siemens Financial Services, Inc; Nysno Climate Investments AS; NOAH AS"
Thomas H. Lee Partners, L.P.
"Rettig Group Ltd. ; Varma Mutual Pension Insurance Company; Veikko Laine Oy; Icebreaker Oy"
AGIC Capital
CapMan Plc
"Axcel Management A/S; Chr. Augustinus Fabrikker A/S"
Altor Equity Partners AB
"Verdane Capital; Pioneer Point Partners LLP"
"Existing Management; Valedo Partners"
"BlackRock, Inc.; Eurazeo SA; Earlybird Venture Capital GmbH & Co KG; Institutional Venture Partners; Atomico; Salesforce Ventures ; World Innovation Lab"
"EQT Ventures Fund; Coinbase Ventures; Fabric Ventures; EQT AB; Dispersion Capital"
"Lightspeed Venture Partners; Seedcamp Limited; Cherry Ventures Management GmbH"
"Sintef Venture AS; Shell Ventures; Saudi Aramco Energy Ventures LLC; AP Ventures LLP; Yara Growth Ventures"
"Global Emerging Markets; GEM Digital Ltd"
Norvestor Equity AS
SEB Private Equity
SEB Private Equity
Atomico
Norvestor Equity AS
"Ufenau Capital Partners AG; Altano Gruppe GmbH"
MVI Group
"Ostersjostiftelsen; Stena Sessan AB; Flerie Invest AB; Inbox Capital AB; Stena Sphere; TomEqt Private AB"
Volati AB
Chrysalix Venture Capital
Monterro Software Investment AB
CapMan Plc
EW Healthcare Partners
Broviken Gruppen AB
Procuritas AB
Triton Partners
Serendipity Partners AS
Dansk Ejerkapital A/S
"Norvestor Equity AS; Position Green Group"
"Norvestor Equity AS; Position Green Group"
"Norvestor Equity AS; Position Green Group"
Volati AB
"yabeo Capital GmbH; Stenshagen Invest AS; SHS Capital; Andenes Ventures AS"
"Kinnevik AB; Creandum; Alma Mundi Ventures; ByFounders LLC"
Sprints Capital Management Limited
"Verdane Capital; Creades AB; EQT Ventures Fund; M2 Asset Management AB; Nineyards Equity; Tham Special Investment AB"
Main Capital Partners B.V.
Driv Kapital Forvaltning AS
Verdane Capital
Mutares SE & Co. KGaA
"Sintef Venture AS; Investinor AS; TRUMPF Venture GmbH; EIC Fund; Skagerak Venture Capital AS"
Xenon Private Equity S.a.r.l.
"Vaekstfonden; Experienced Capital Partners SAS"
"Accel-KKR LLC; Long Path Partners; Briarwood Chase Management LLC"
"Molten Ventures; Inventure Oy; Day One Capital Venture Capital Fund Management Ltd.; ParTech, Inc; Norrsken VC; Lyra Ventures"
"Blossom Capital Ltd.; Maki.VC; Brightly Ventures AB"
eEquity AB
"Nordkraft AS; HitecVision AS"
Volati AB
"Existing Management; Morgan Stanley Investment Management Inc.; Magnesium Capital LLP"
Accent Equity Partners AB
Den Sociale Kapitalfond Management ApS
"Scale Capital; Hadean Ventures AS; Bonit Capital"
Valedo Partners
"Norsk Hydro ASA; Altor Equity Partners AB"
"Team Europe Ventures Management GmbH;  Navin Thukkaram (Private investor); Peter Carlsson (Private Investor); Marec Gasiun (Private Investor); Helene Barnekow (Private Investor); Silvana Imam; Siduri Poli"
"Sofina SA; GGV Capital; Northzone Ventures AS; Balderton Capital (UK) LLP; Andreessen Horowitz LLC; Swisscom Ventures; Heilemann Ventures GmbH; Owl Ventures, LP; Educapital SAS"
"Nysno Climate Investments AS; Eviny Ventures AS; Momentum Venture Management AS"
VIA Equity A/S
Longship AS
Partners Group Holding AG
Vaekspartner Kapital ApS
Hg
Ratos AB
Intera Partners Oy
"Almaz Capital Partners ; Verve Ventures ; KPN Ventures BV; SOSV LLC; Zenith Group AB; Karma Ventures ; Swiss Immo Lab AG; Kompas Management ApS"
IK Investment Partners AB
Serendipity Partners AS
Main Capital Partners B.V.
"Altor Equity Partners AB; Altor Fund V"
Kester Capital LLP
Dansk Generationsskifte AS
"HitecVision AS; Areim AB; Infranode; Hafslund Eco AS"
Icon Capital AS
Hasko Invest AB
HighBrook Investors
Kistefos AS
HitecVision AS
"Existing Management; Axxelerator Capital AS"
Adelis Equity Partners AB
Capillar Equity
Capillar Equity
"Luminar Ventures AB; CNI Advisory AB"
Stella Capital AB
Stella Capital AB
Norvestor Equity AS
"Schibsted ASA; Balderton Capital (UK) LLP; Eight Roads Ventures India; Summa Equity AB"
"Kinnevik AB; Tencent Holdings Ltd.; Heartland A/S; IDC Ventures"
"Insight Partners; Alfven & Didrikson AB; Luminar Ventures AB; Philian Invest AB"
EQT AB
"Existing Management; Bluester Capital; Catacap Management A/S; Schroders Capital"
Lone Star Funds
Anthos Management, LLC
Sentica Partners Oy
Nordic FoodTech VC
"Existing Management; Jysk-Fynsk Kapitalanlaeg A/S"
Cubera Private Equity
Folmer Management Oy
HighBrook Investors
HighBrook Investors
Rebellion Capital
Herenco AB
Tangen Industrikapital AB
"Tiger Global Management, LLC; Y Combinator LLC; Initialized Capital Management LLC; EQT Ventures Fund"
MB Funds
Hasko Invest AB
"FSN Capital Partners AS; Verdane Capital"
"Existing Management; Vaaka Partners Oy"
"BlackRock, Inc.; Luxor Capital Group, LP; Agility; B-FLEXION Group Holdings SA ; Byggmastare Anders J Ahlstrom Holding AB (publ)"
FSN Capital Partners AS
Saari Partners Oy
"Alfven & Didrikson AB; Reaktor Ventures; Vendep Capital Oy"
"Investcorp; Investcorp Technology Partners; RoosGruppen AB; Centripetal Capital Partners; Lugard Road Capital, LP; Saeid Esmaeilzadeh (Private Investor)"
Verdane Capital
"Blackstone Group Inc ; Blackstone Growth"
Catacap Management A/S
"Lundbeckfond Invest A/S; Novo Holdings A/S; Roche Venture Fund; INKEF Capital; Jeito Capital"
"Kinnevik AB; Vaekstfonden; Giant Ventures Global LLP"
Vaaka Partners Oy
Fasanara Capital Ltd.
"Verdane Capital; Inventure Oy; Lifeline Ventures Oy; Reaktor Ventures; Tesi Srl"
"Sisu Game Ventures Oy; 1Up Ventures; SMOK Ventures; BITKRAFT Ventures; VGames"
"EV Private Equity; Shell Ventures; Swen Capital Partners"
"Schibsted ASA; Kistefos AS"
"Creadev S.A.S.; Swen Capital Partners; Telos Impact"
BTomorrow Ventures Limited
Folmer Management Oy
Lynx Equity Limited
Rebellion Capital
"SHS Gesellschaft fur Beteiligungsmanagement mbH; Impilo AB"
"BAE Systems Plc; Kajima Corporation; Tokio Marine Holdings, Inc.; Molten Ventures; Services Group of America Inc.; True Ventures; Chione; Seraphim Capital; British Business Bank PLC; Promus Ventures; OTB Ventures; Space Capital LLP"
"Stena Sessan AB; Ernstrom Kapitalpartner AB; JB Nordic Ventures Oy; MetaPlanet Holdings OU"
"Stena Sessan AB; Ernstrom Kapitalpartner AB; JB Nordic Ventures Oy; MetaPlanet Holdings OU"
"Vaekstfonden; K1 Investment Management, LLC"
"Element Ventures LLP; EQT AB"
Coatue Management, L.L.C
Bluefront Equity AS
"Juuri Partners Oy; Trind Ventures OU"
Broviken Gruppen AB
Novedo Holding AB
"Segulah Advisor AB; Levinsgruppen"
"Finnish Industry Investment Ltd; Mika Ihamuotila; Mikael Hedlund (Private Investor); Butterfly Ventures Oy; Antero Vartia (private investor) ; Nidoco AB"
Novedo Holding AB
"Existing Management; Verdane Capital"
Axxelerator Capital AS
"Canica AS; Sandwater"
Novedo Holding AB
Priveq Investment
Novedo Holding AB
Hikma Ventures
Livonia Partners
"IK Partners; Existing Management"
Baird Capital Partners
"Verdane Capital; Instabox AB"
Volati AB
Peak Capital B.V.
"Headline; Creandum; ByFounders LLC"
"Breed Reply Investments Limited; Aqua-Spark"
Nordic Eye Venture Capital
True Global Ventures
Axcel Management A/S
"Back in Black Capital; Philian Invest AB; Jula Miljo & Energi"
North-East Venture A/S
"eEquity AB; Mandatum Asset Management Ltd"
Viking Venture Management AS
"Existing Management; Adelis Equity Partners AB"
Axcel Management A/S
"Existing Management; Waterland Private Equity Investments B.V."
Sponsor Capital Oy
Quadrum Capital B.V.
"Santo Holding AG; EQT AB"
"Dragonfly Capital; Sequoia Capital China; Youbi Capital; Coinbase Ventures"
"CEE Management GmbH; CEE RF7 Holding Sarl"
"Nordic Capital; Coller Capital Limited; Goldman Sachs Asset Management, L.P.; Pantheon Ventures Inc"
Equip Capital AS
Equip Capital AS
Seed Capital Denmark
"Ensto Oy; Lifeline Ventures Oy"
Anthos Management, LLC
Axcel Management A/S
FSN Capital Partners AS
"New Enterprise Associates; Jakob Tolleryd; Richard Bage (Private Investor); Inbox Capital AB; Tagehus Holding AB; Johan Tjaernberg (Private Investor); Magnus Silfverberg (Private Investor)"
"Ratos AB; Vestia Construction Group AB"
"Existing Management; Avallon Sp. z o.o."
"Eurofund; Henderson Park Capital Partners UK LLP"
Bluefront Equity AS
"FAM AB; Almi Invest AB"
Verdane Capital
Accent Equity Partners AB
Norvestor Equity AS
Adelis Equity Partners AB
CapMan Plc
Susquehanna Growth Equity, LLP
"Kinnevik AB; Creandum; Stripes Group, LLC; Coatue Management, L.L.C; Bain Capital Ventures; Thrive Capital LLC; Seedcamp Limited; Founders A/S; Alkeon Capital Management, LLC"
Adelis Equity Partners AB
BC Partners LLP
EQT Partners AB
Livonia Partners
Erhvervsinvest Management A/S
"General Catalyst; Tiger Global Management, LLC; Point Nine Capital; Seedcamp Limited; LocalGlobe LLP; Moonfire Ventures; Avid Ventures"
"Tencent Holdings Ltd.; Vitruvian Partners LLP"
"VNV Global AB; Sprints Capital Management Limited"
"PreSeed Ventures; Calm Storm Management GmbH"
"IK Partners; Existing Management"
Pamplona Capital Management LLP
"Andreessen Horowitz LLC; Riot Games, Inc. ; Twitch Interactive, Inc.; Dreamhaven"
"Trident Capital;  Seplat Energy Plc."
Verso Capital
Foreman Capital BV
Sponsor Capital Oy
"Headline; Meridia Capital; 83 North Ltd.; Chr. Augustinus Fabrikker A/S; Highland Europe (UK) LLP; Saban Ventures; Heartcore Capital; Possible Ventures Verwaltungs GmbH"
Great Range Capital LLC
"Existing Management; Verso Capital Oy"
Apposite Capital LLP
AUCTUS Capital Partners AG
Norvestor Equity AS
"Industrifonden AB; Novo Holdings A/S; Boehringer Ingelheim SA"
Mutares SE & Co. KGaA
Ratos AB
Adelis Equity Partners AB
Verso Capital Oy
Impact Partenaires SAS
"Existing Management; Maj Invest Equity A/S"
HighBrook Investors
KKR & Co. Inc.
"IK Partners; Existing Management; SEB Private Equity"
Norvestor Equity AS
Mutares SE & Co. KGaA
Equip Capital AS
"Partners Group Holding AG; Superior Pipeline Company LLC; OPSEU Pension Trust; SP Capital Investors LP; Unity Corporate Solutions"
Sponsor Capital Oy
Standard Investment Management B.V.
"Existing Management; Broviken Gruppen AB"
EQT Ventures Fund
Procuritas AB
"Jolt Capital SAS; Lightrock LLP"
"Existing Management; MB Funds"
Broviken Gruppen AB
Bocap Investment Oy
Triton Partners
Trill impact AB
Trill impact AB
"Institutional Venture Partners; Atomico; World Innovation Lab"
Dansk Generationsskifte AS
Foreman Capital BV
Maj Invest Equity A/S
"Industrifonden AB; Fashion For Good; Fairpoint Capital AB; BackingMinds"
"Cherry Ventures Management GmbH; Felix Capital; FJ Labs; EQT Ventures Fund; DST Global Ltd"
"Industrifonden AB; Fjarde AP-fonden; Balderton Capital (UK) LLP; F-Prime Capital Partners; Eight Roads Ventures; Stena Sessan AB; OXX Ltd"
Flerie Invest AB
Mimir Invest AB
AFRY AB
"EQT Partners AB; Accel; Northzone Ventures AS; GFC Global Founders Capital GmbH; Quadrille Capital; FinTech Collective, Inc; Augmentum Fintech Plc"
"Novax AB; Anthemis Group SA; Obvious Ventures; CommerzVentures GmbH; Cherry Ventures Management GmbH; Nineyards Equity"
CapMan Plc
Jotunfjell Partners AS
"Headline; Asset Management Finance Corp; Creandum"
CGE Partners LLP
Gores Guggenheim, Inc.
Adelis Equity Partners AB
"Brightly Ventures AB; Oyster Bay Venture Capital GmbH & Co. KG; Danny Saucedo (Private Investor)"
Terveystalo Plc
"Sony Innovation Fund; WndrCo Holdings, LLC; Baron Davis Enterprises LLC; Bridford Group Ltd"
Polaris Private Equity
"Vitec Software Group AB; Fairpoint Capital AB"
"Camar AS; NFT Holdco AS"
Ferd Venture
Verdane Capital
Helix Kapital AB
Verdane Capital
"Vendep Capital Oy; Business Finland Oy"
Intera Partners Oy
Partech Partners SAS
KLAR Partners Limited
KKR & Co. Inc.
Nordic Capital
Monterro Software Investment AB
"Eurazeo Ventures; Vaekstfonden; Chr. Augustinus Fabrikker A/S; ByFounders LLC; Heartcore Capital"
"TPG Capital LP; Folketrygdfondet; GIC Private Limited; Vind AS; Aeternum Management A/S"
Adelis Equity Partners AB
Solix Group AB
Investment AB Latour
Capidea Management ApS
"Brightly Ventures AB; John Wattin (Private Investor); Tomas Ekman (Private Investor)"
"Chalmers Ventures AB; Fairpoint Capital AB"
"Endeit Capital; Inventure Oy; HENQ Capital Partners; Creades AB"
"Advent International Corporation; GIC Private Limited"
"GGV Capital; Costanoa Ventures; Cowboy Ventures; ICONIQ Growth"
"Idekapital AS; Investinor AS; FirstPartyCapital"
"CEE Management GmbH; CEE RF7 Holding Sarl"
Fidelio Capital AB
"KKR & Co. Inc. ; Headline; DN Capital Limited; Salesforce Ventures"
"Zentynel Frontier Investments; Inversiones SMLP Limitada"
"Icon Capital AS; Akva Marine Services AS"
"Broviken Gruppen AB; Cereb AB"
Deutsche Beteiligungs AG
Fidelium Partners
Bridgepoint Group Plc
Bridgepoint Group Plc
Bagger-Sørensen Equity A / S
Altor Equity Partners AB
"Goldman Sachs Asset Management, L.P.; Insight Partners; Dawn Capital LLP; SEB Pension A/S; John Hepburn (Private Investor); Tellef Thorleifsson (Private Investor); SoftBank Investment Advisers"
Monterro Software Investment AB
"Redpoint Ventures; Union Square Ventures; Dragonfly Capital; Multicoin Capital Management, LLC"
Storskogen Group AB (publ)
Storskogen Group AB (publ)
Storskogen Group AB (publ)
Storskogen Group AB (publ)
Storskogen Group AB (publ)
Swiss Health Ventures
"Khosla Ventures; CSS Group; Zuehlke Ventures AG"
Intera Partners Oy
Intera Partners Oy
Dane Capital
"Providence Equity Partners L.L.C.; Ardian"
"VNV Global AB; Raine Group LLC"
Axcel Management A/S
SEB Venture Capital
"General Atlantic Service Company, L.P. ; Seed Capital Denmark; Notion Capital Partners LLP; Project A Ventures GmbH & Co. KG"
"Borregaard A/S; EIC Fund; Jakob Hatteland (Private Investor)"
"HealthCap; Novo Holdings A/S; RA Capital Management, LLC"
Capidea Management ApS
Ahlstrom Capital Oy
"Partech Partners SAS; Qualcomm Ventures; Creandum; GP Bullhound LLP; GV Management Company LLC; Initial Capital Limited; Bonnier Ventures; Knutsson Holdings AB; MizMaa Ventures; Sisu Game Ventures Oy; BITKRAFT Ventures"
Permira Advisers LLP
"EQT Partners AB; Mesa Air Group, Inc.; Breakthrough Energy Ventures LLC; Lowercarbon Capital LLC; United Airlines Ventures"
Karbon Invest AS
Accent Equity Partners AB
"Kinnevik AB; Tencent Holdings Ltd.; Seed Capital Denmark; Chr. Augustinus Fabrikker A/S; Heartland A/S; Fuel Ventures Limited; IDC Ventures ; MW&L Capital Partners"
AEA Investors LP
Axxelerator Capital AS
"Nordstjernan AB; Inventure Oy; Schibsted Growth"
"Life Sciences Partners BV; Polaris Partners; Sofinnova Partners; Novo Holdings A/S; Vlaams Instituut voor Biotechnologie ; DROIA nv; V-Bio Ventures; Sanofi Ventures"
Marguerite Adviser S.A.
Ceder Capital
Viking Venture Management AS
Viking Venture Management AS
VIA Equity A/S
Equip Capital AS
VNV Global AB
Sentica Partners Oy
Accent Equity Partners AB
Storskogen Group AB (publ)
Main Capital Partners B.V.
"Bonnier Ventures; Luminar Ventures AB; Bonit Capital; Peter Dahlberg (Private Investor)"
"DST Global; Felix Capital"
IPI Partners, LLC
Ares Management LLC
"Kinnevik AB; Creandum; Stripes Group, LLC; Bain Capital Ventures; Thrive Capital LLC; Seedcamp Limited; Founders A/S"
Nalka Invest AB
Summa Equity AB
Axcel Management A/S
Intermediate Capital Group Plc
CapMan Plc
"Axcel Management A/S; Currentum AB"
"Canica AS; Investinor AS; Algot Invest AS; Radforsk Investeringsstiftelse; Jandersen Kapital AS"
Storskogen Group AB (publ)
Storskogen Group AB (publ)
Dansk Ejerkapital A/S
G Square Healthcare Private Equity LLP
"EQT Partners AB; SYBO ApS; Luminar Ventures AB; Bumble Ventures; CMT Digital Ventures LLC; Konvoy Ventures"
Intermediate Capital Group Plc
SEB Private Equity
Axcel Management A/S
Verdane Capital
Screen Capital AB
"AutoScout24 GmbH; Norselab Holding AS; Nysno Climate Investments AS; Hedin Automotive Dielsdorf"
Lazarus Industriforvaltning AB
