Announced Date;Bidder Company;Seller Company
09.05.2018;Dansk Ejerkapital A/S;"Uwe Jensen (Private investor); John Jeppesen (Private investor); Bruno Max Sorensen (Private investor)"
09.05.2018;Altor Equity Partners AB;"Kjersti Gronmyr  (Private Individual);  Bjorn Gronmyr  (Private Individual)"
07.05.2018;VIA Equity A/S;Ingen minns en fegis AB
02.05.2018;VIA Equity A/S;Micro Matic A/S
30.04.2018;"VKR Holding A/S; Kraks Fond; Greystone Capital A/S";"Christian Riisberg (Private Investor); Gustaf Ohrn (Private Investor)"
30.04.2018;Patricia Industries;EQT Partners AB
27.04.2018;Suiris Invest AB;Stjarnvalvet AB
27.04.2018;GlobalConnect AS;NextGenTel Holding ASA
24.04.2018;Intera Partners Oy;Korona Invest Oy
24.04.2018;Renta Group Oy;Accent Equity Partners AB
24.04.2018;"Sentica Partners Oy; Finnish Industry Investment Ltd";NoHo Partners Plc
21.04.2018;Axcel Management A/S;Orion Oyj
12.04.2018;NoHo Partners Plc;Intera Partners Oy
10.04.2018;EQT Infrastructure III;EQT Partners AB
09.04.2018;Familar Oy;Folmer Management Oy
03.04.2018;"VIA Equity A/S; Jan Gaardboe Jensen (Private Investor)";Vaekst-Invest Nordjylland A/S
03.04.2018;Altor Equity Partners AB;Bo Larsson (Private Investor)
23.03.2018;Polaris Private Equity;Hansen Family
22.03.2018;Thylander Gruppen;Altor Equity Partners AB
22.03.2018;Sinch AB (publ);Maj Invest Equity A/S
22.03.2018;Input Interior Ab;Herkules Capital AS
19.03.2018;Danish Crown AmbA;"Maj Invest Equity A/S; Per Fischer Larsen (Private Investor); Steffen Ramsgaard (Private Investor)"
16.03.2018;H. Lundbeck A/S;"Seroba Life Sciences; Forbion Capital Partners; Sunstone Life Science Ventures A/S; Ysios Capital Partners, SGEIC, S.A.U; Merck Ventures BV"
14.03.2018;Nordstjernan AB;Aktiebolaget Zelda
12.03.2018;Altor Equity Partners AB;Foreningen Lantbrukarnas Riksforbund
09.03.2018;Peter Gyllenhammar AB;Segulah Advisor AB
08.03.2018;Asset Buyout Partners AS;EQT Partners AB
06.03.2018;Fortum Charge & Drive;"Cleantech Invest Plc; Heinz Durr Invest GmbH"
02.03.2018;Semantix AB;Amesto Group AS
28.02.2018;Juuri Partners Oy;Sievi Capital Plc
23.02.2018;Erhvervsinvest Management A/S;Roblon A/S
21.02.2018;Tieto Corporation;Viking Venture Management AS
20.02.2018;"Cooperative Tradeka Corporation; Colosseum Dental Group";Adelis Equity Partners AB
16.02.2018;Norvestor Equity AS;Sperre Mek. Verksted AS
