Announced Date;Bidder Company;Seller Company
22.12.2021;Equip Capital AS;"Lars Krangnes (Private Investor); Atle Gerhardsen (Private Investor)"
21.12.2021;FSN Capital Partners AS;"Triton Partners; Altor Equity Partners AB"
20.12.2021;"New Enterprise Associates; Jakob Tolleryd; Richard Bage (Private Investor); Inbox Capital AB; Tagehus Holding AB; Johan Tjaernberg (Private Investor); Magnus Silfverberg (Private Investor)";Litorina Capital Advisors AB
17.12.2021;Speed Group AB;Dream Logistics
17.12.2021;Handverksgruppen AS;Konveks Holding AS
16.12.2021;"Ratos AB; Vestia Construction Group AB";HENT AS
15.12.2021;Scana ASA;Herkules Capital AS
14.12.2021;Bluefront Equity AS;Oxyvision AS
09.12.2021;ICM Holdco III Corp;"Lars Ole Moller Jensen (Private Investor); Peter Laugesen (Private Investor)"
08.12.2021;Francks Kylindustri Sweden AB;Broodstock Capital
07.12.2021;Mehilainen Oy;MB Funds
07.12.2021;JCE Group AB;Litorina Capital Advisors AB
30.11.2021;Farna Invest AB;Serendipity Partners AS
30.11.2021;"Vaekstfonden; Chr. Augustinus Fabrikker A/S";Trifork A/S
30.11.2021;"IK Partners; Existing Management";Intera Partners Oy
24.11.2021;J2L Holding AB;Almi Invest AB
24.11.2021;GlobalConnect AS;Telenor ASA
23.11.2021;"Jotta AS; SaaS Holding AS";Hawk Invest AS
22.11.2021;Norvestor Equity AS;MB Funds
18.11.2021;Ratos AB;"KB Gruppen Kongsvinger AS; Tertnes Holding AS"
16.11.2021;Adelis Equity Partners AB;Avain Yhtiot Group
15.11.2021;Verso Capital Oy;"Almi Invest AB; Entreprenorinvest Sverige"
09.11.2021;Sambla AB;Speqta AB
09.11.2021;"IK Partners; Existing Management; SEB Private Equity";Sobro AB
08.11.2021;Norvestor Equity AS;IK Partners
05.11.2021;LeDap Group Ab;"Dobido AB; Emergent AB"
04.11.2021;Outpost24 AB;Monterro 1 AB
02.11.2021;Berner Oy;Sponsor Capital Oy
02.11.2021;Klarna Bank AB (publ);"eEquity AB; Creades AB; Karl-Johan	Persson (Private Investor)- DUPLICATE; Nicklas Storakers (Private investor)"
01.11.2021;Soderbergforetagen J AB;Korona Invest Oy
01.11.2021;Iver AB;Centrera Holding AB
28.10.2021;NREP A/S;"Heimdal Bolig AS; Ovre Rotvoll AS"
25.10.2021;We Are Padel AB;"Patrik Eklund AB; Kristall bemanning i sverige AB"
25.10.2021;"Actona Company A/S ; Lars Larsen Group";Dansk Ejerkapital A/S
15.10.2021;Maj Invest Equity A/S;PKA A/S
12.10.2021;"NEP Group, Inc.; Creative Technology Northern Europe AB";CapMan Plc
08.10.2021;Mimir Invest AB;Glommen Mjosen Skog BA
07.10.2021;Vestum (publ) AB;Summa Equity AB
07.10.2021;Confirma Software;"Hans Olov Hjalmarsson (Private investor); Scaninvest GmbH; Kummeluddne AB"
06.10.2021;GN Store Nord A/S;Axcel Management A/S
04.10.2021;EG Norge AS;Tricode Oy
04.10.2021;"EQT Partners AB; Stonepeak Infrastructure Partners";EQT Partners AB
29.09.2021;We Are Padel AB;"Svegusblu AB; Hoope Enterprise AB; AK Padel AB; Utemiljogruppen i Sundsvall AB"
29.09.2021;Boreo Oyj;Preato Capital AB
28.09.2021;Undisclosed bidder;Kistefos AS
27.09.2021;CapMan Plc;St1 Oy
27.09.2021;Jotunfjell Partners AS;RNB Retail and Brands AB
27.09.2021;Falck Danmark A/S;Credo Partners AS
24.09.2021;Bravida AB;Triton Partners
23.09.2021;Lantmannen ek;Sponsor Capital Oy
22.09.2021;PriceRunner Group AB;"Digitale Medier 1881 AS; Tini Invest AS"
22.09.2021;nShift Group AS;Vaekstpartner Kapital ApS
21.09.2021;Polaris Private Equity;Erhvervsinvest Management A/S
20.09.2021;Presto Paloturvallisuus Oy;"Tero Roivainen (Private investor); Tommi Roivainen (Private investor); Tero Lehtinen (Private investor)"
17.09.2021;Aegirbio AB;"BackingMinds; Anne Kihlgren (Private Investor)"
15.09.2021;Norlandia Health & Care Group AS;Altor Equity Partners AB
08.09.2021;Solix Group AB;Jens Stausholm (Private Investor)
02.09.2021;Ageras A/S;"Northzone Ventures AS; Finnish Industry Investment Ltd; Conor Venture Partners Oyj; NFT Ventures ; Mattias Hansson (Private Investor); Tuukka Koskinen (Private Investor)"
01.09.2021;Sandbackens Invest AB;Ekroth & Jahnberg Holding AB
31.08.2021;HiQ International AB;Skartech AB
31.08.2021;BST Brandskyddsteamet AB;I.A & M.W Holding AB
30.08.2021;Cegal AS;"Credo Partners AS; Ferd AS"
27.08.2021;Fidelio Capital AB;Skirner AB
26.08.2021;We Are Padel AB;Familjen & Byggarn AB
26.08.2021;"Icon Capital AS; Akva Marine Services AS";LIN AS
23.08.2021;nShift Group AS;Wellstreet Partners AB
23.08.2021;Existing Management;BWB Partners P/S
20.08.2021;Midsona AB;Juuri Partners Oy
19.08.2021;Trioworld Industrier AB;"Entreprenorinvest Sverige	; LRF Ventures; Lantbrukarnas Ekonomi AB; Malmbacks Invest AB; El-Fynd Holding i Sverige AB"
16.08.2021;Bagger-Sørensen Equity A / S;Burcharth family
16.08.2021;Altor Equity Partners AB;Nordisk Film A/S
16.08.2021;Monterro Software Investment AB;TPC Management ApS
11.08.2021;Storskogen Group AB (publ);Ceder Capital
11.08.2021;Storskogen Group AB (publ);Ceder Capital
11.08.2021;Storskogen Group AB (publ);Ceder Capital
11.08.2021;Storskogen Group AB (publ);Ceder Capital
11.08.2021;Storskogen Group AB (publ);Ceder Capital
10.08.2021;Advania AB;IK Partners
06.08.2021;Bano AS;"OLTO Invest AS; Sjoblikk AS"
04.08.2021;Dr. Furst Medisinsk Laboratorium AS;"Kverva Industrier AS; Aspehaug Holding; Devold Holding"
03.08.2021;Evidensia Djursjukvard AB;Korona Invest Oy
27.07.2021;Klarna Bank AB (publ);Spintop Ventures
23.07.2021;"Borregaard A/S; EIC Fund; Jakob Hatteland (Private Investor)";Thorleif Thormodsen (Private Investor)
16.07.2021;Nordic Transport Group A/S;Litorina Capital Advisors AB
16.07.2021;Ahlstrom Capital Oy;Metso Outotec Corporation
13.07.2021;Karbon Invest AS;Longship AS
12.07.2021;Wihuri Oy;CapMan Plc
11.07.2021;Embriq AS;Norinnova Invest AS
09.07.2021;Viking Venture Management AS;Monterro Software Investment AB
09.07.2021;VIA Equity A/S;Morten Krogh (Private Investor)
09.07.2021;EQT Partners AB;"Triton Partners; Tempus Capital GmbH"
08.07.2021;Accent Equity Partners AB;VIA Equity A/S
08.07.2021;Storskogen Group AB (publ);Accent Equity Partners AB
08.07.2021;Vitrolife AB (publ);"EQT Partners AB; Charme Capital Partners SGR S.p.A."
06.07.2021;Tepac Entreprenad AB;Johan Borjebo (Private Investor)
05.07.2021;Nalka Invest AB;ASSA ABLOY AB
05.07.2021;Summa Equity AB;Longship AS
02.07.2021;Accountor Holdings Oy;Oy Wedeco Ab
02.07.2021;Axcel Management A/S;Herkules Capital AS
02.07.2021;Mehilainen Oy;Vaaka Partners Oy
02.07.2021;CapMan Plc;Verdane Capital
01.07.2021;Storskogen Group AB (publ);"Patrick.Hansson AB; Kulog AB"
01.07.2021;Storskogen Group AB (publ);"Lena Areskoug (Private investor); Peter Wolff (Private investor)"
01.07.2021;Dansk Ejerkapital A/S;Vaekst-Invest Nordjylland A/S
01.07.2021;KVD Kvarndammen AB;Nalka Invest AB
01.07.2021;Royal Unibrew A/S;CapMan Plc
30.06.2021;Axcel Management A/S;Polaris Private Equity
30.06.2021;Verdane Capital;Karnell
29.06.2021;Recover Nordic AS;"SJT Miljo AS; Jtr Eiendomsinvest AS"
29.06.2021;Lazarus Industriforvaltning AB;Stena Metall AB
29.06.2021;Recover Nordic AS;"JTR Eiendomsinvest AS; SJT Miljo AS"
29.06.2021;4service AS;Care Companies AS
29.06.2021;Intera Partners Oy;"Avara Ltd; Bullstreet Invest Oy"
28.06.2021;Altor Equity Partners AB;Monterro Software Investment AB
24.06.2021;TempCon Group AB;Norrmejerier ek forening
23.06.2021;"Keystone Education Group; Keith Fransson (Private Investor)";Verdane Capital
22.06.2021;Currentum AB;Mortensen Holding AB
22.06.2021;Enemaerke & Petersen A/S;Esbjerg Brygge Invest A/S
22.06.2021;"Volati AB; Ann-Charlotte Andersson (Private Investor)";Priveq Investment
21.06.2021;Kibord AS;Accent Equity Partners AB
18.06.2021;Menu A/S;Buurskov & Lassen Maskinfabrik ApS
18.06.2021;Nordic Rescue Group;Andersers Mekaniska Verkstad AB
17.06.2021;Axcel Management A/S;Dansk Ejerkapital A/S
17.06.2021;Norva24 Group AB;MalmbergGruppen AB
17.06.2021;4service AS;Harald Hagvag (Private investor)
16.06.2021;Trill impact AB;Priveq Investment
16.06.2021;PHM Group;MVI Group
16.06.2021;Trill impact AB;Priveq Investment
16.06.2021;Nalka Invest AB;"SEB Venture Capital; LK Finans AB"
15.06.2021;Priveq Investment;Hjelm Family
15.06.2021;Norvestor Equity AS;"Kirk Kapital A/S; Claus Moldow (Private Investor)"
14.06.2021;Pearl Group AS;Enfo Oyj
11.06.2021;Litorina Capital Advisors AB;"Joakim Wiklander (Private Investor); Jonas Wiklander (Private Investor); Mika Zibanejad (Private Investor); Monir Kalgoum (Private Investor)"
10.06.2021;Storskogen Group AB (publ);"Torgny Nilsson (Private Investor); Attila Foldhazi (Private Investor)"
09.06.2021;REEN;"Earlybird Venture Capital GmbH & Co KG; Finnish Industry Investment Ltd; Lifeline Ventures Oy; Draper Associates, Inc.; Ginko Ventures Sarl; ZenStone Venture Capital LLC; First Fellow Partners Oy"
09.06.2021;BHG Group AB;Verdane Capital
08.06.2021;Schibsted ASA;Gorilla Capital Management Oy
03.06.2021;Verdane Capital;"Accountor Holdings Oy; Juha Huhtanen & family"
02.06.2021;Nordhealth Oy;Kistefos AS
01.06.2021;"Farna Invest AB; Serendipity Partners AS";nxt2b
01.06.2021;"Nordea AB; Vaekstfonden; Peter Korsholm (Private Investor); Christian Riis-Hansen (Private Investor); Martin Gaarn Thomsen (Private Investor)";Solstra Capital Partners
31.05.2021;Xano Industri AB;Vaekstpartner Kapital ApS
28.05.2021;Adelis Equity Partners AB;"Tellacq AB; Fluvio Holding AB; Diana Biotech & Consulting AB; Van Hamond Groep B.V."
27.05.2021;EG A/S;Vaaka Partners Oy
27.05.2021;Glacio Cold Chain Logistics Partners AS;Icemen Groupe AB
27.05.2021;KK Wind Solutions A/S;Erhvervsinvest Management A/S
27.05.2021;Mestergruppen AS;Icon Capital AS
25.05.2021;Manna & Co Oy;Innovestor Oy
25.05.2021;Equip Capital AS;"Espen Ronneberg (Private Investor); Johan Edward Olofsson (Private Investor); Shanghai Yichan Intelligent Technology Ltd"
21.05.2021;Lars Larsen Group;Procuritas AB
20.05.2021;Construction Equipment Group AS;Hrh i AS
18.05.2021;IT Relation A/S;"Itadel A/S; Anders Bader Sojdis (Private investor); Mickey Soussah  (Private investor)"
18.05.2021;IT Relation A/S;Maj Invest Equity A/S
12.05.2021;Existing Management;Catacap Management A/S
12.05.2021;Danoffice IT ApS;"Lars Andersen (Private Investor); Kristine Bach (Private investor)"
12.05.2021;Undisclosed bidder;Catacap Management A/S
11.05.2021;FSN Capital Partners AS;Priveq Investment
11.05.2021;Altor Equity Partners AB;"Jonas Groth (Private Investor); Carl Ljungh (Private Investor)"
10.05.2021;Polaris Private Equity;"LANGEMARK ApS; EXORNATOR ApS; PEDEHOLDING ApS"
10.05.2021;Alfa Laval Corporate AB;"DNV AS; EQT Partners AB"
06.05.2021;Assemblin AB;Mulliner AB
05.05.2021;Assemblin AB;Hemsedal Helg AS
05.05.2021;Fastighets AB Balder;HitecVision AS
05.05.2021;Knowit AB;"JCE Group AB; Tequity AB; Formica Capital AB; Niklas Flyborg (Private Investor)"
04.05.2021;IT Relation A/S;"Troels Gammelgaard (Private Investor); Jesper Larsen (Private investor)"
04.05.2021;Formica Capital AB;Intera Partners Oy
03.05.2021;Dantaxi 4x48 A/S;Catacap Management A/S
30.04.2021;Undisclosed bidder;VIA Equity A/S
28.04.2021;Partnera Oy;Canelco Capital Oy
27.04.2021;Triton Partners;Credo Partners AS
26.04.2021;"Karsten Ree Holding B ApS; Kirk Kapital A/S";Capidea Management ApS
23.04.2021;Carletti A/S;MB Funds
23.04.2021;Nordic Tyre Group AB;"Egil Stenshagen (Private Investor); Paul Oord (Private Investor)"
23.04.2021;Nordic Tyre Group AB;Dag Andre Gimle Johansen (Private Investor)
20.04.2021;Lunar A/S;"Inbox Capital AB; Otiva"
19.04.2021;FAM AB;Patricia Industries
15.04.2021;DNB ASA;Altor Equity Partners AB
14.04.2021;GRO Capital A/S;"Claus Wann Jensen (Private investor); Henrik Wann Jensen (Private investor)"
13.04.2021;ECIT AS;Longship AS
13.04.2021;The North Alliance AS;Egil Stene-Johansen (Private Investor)
08.04.2021;IT Relation A/S;Stairways ApS
08.04.2021;Confirma Software;Jussi Taulu (Private Investor)
07.04.2021;EG A/S;Jan Idar Vikse (Private Investor)
07.04.2021;Kahoot! ASA;Investinor AS
06.04.2021;Caybon;Viaplay Group AB
01.04.2021;Beijer Tech AB;MVI Group
31.03.2021;Currentum AB;Klimat-innovatoren Stockholm AB
30.03.2021;Biototal AB;Nextgear Invest Limited
30.03.2021;Mimir Invest AB;Wartsila Corporation
28.03.2021;Polaris Private Equity;"Tiger Holding ApS; Tulde holding ApS; Sinful Holding ApS"
26.03.2021;OptiGroup AB;Herenco AB
22.03.2021;"Existing Management; Longship AS";Westcon Group AS
19.03.2021;Hanza Group AB;Helmet Capital
18.03.2021;Polskenet Invest AB;Christer Hedlund (Private investor)
18.03.2021;"Blackstone Group Inc ; EQT Partners AB";EQT Partners AB
18.03.2021;Nordic Waterproofing Holding A/S;Spiltan Investment AB
16.03.2021;Effnetplattformen AB;"Stronghold Invest AB; NFT Ventures"
16.03.2021;Ventilationsprojekt i Sverige AB;Lundgrens El Consulting AB
15.03.2021;Visma AS;EG A/S
11.03.2021;"Blackstone Group Inc ; Alecta Pensionsforsakring Omsedisigt; AMF Pensionsforsakring AB";EQT Partners AB
10.03.2021;Currentum AB;Luftslussen AB
10.03.2021;First Camp Sverige Holding AB;"Mittkapital i Jamtland och Vasternorrland AB; Inlandsinnovation AB; Orsa Besparingsskog; EkoNord Invest AB"
10.03.2021;"Procuritas AB; Jotunfjell Partners AS";RNB Retail and Brands AB
07.03.2021;Nordic Capital;Summa Equity AB
05.03.2021;CapMan Plc;Intera Partners Oy
04.03.2021;Soderberg & Partners Denmark;Hansson Holding Esbjerg ApS
01.03.2021;Monterro Software Investment AB;"Tyholmen Holding AS; Falkevik Holding AS; Ljosland Invest AS; Solemoa AS T.O.; Dreggveien Invest AS"
26.02.2021;Saalasti Oy;Canelco Capital Oy
26.02.2021;Profura AB;Priveq Investment
26.02.2021;Capidea Management ApS;Dansk Ejerkapital A/S
20.02.2021;"IK Partners; Intermediate Capital Group Plc";Petter Neslein (Private Investor)
19.02.2021;Funn AS;Maadavar Holding AS
19.02.2021;Longship AS;NORCE Norwegian Research Centre AS
18.02.2021;Svenska Nergy AB;Leif Sager (Private Investor)
18.02.2021;Humble Group AB;"Verdane Capital; Noel Abdayem (Private Investor)"
18.02.2021;Triton Partners;IK Partners
16.02.2021;Fortnox AB;Alfven & Didrikson Invest AB
15.02.2021;Orkla Health AS;"Impilo AB; Sana Pharma Holding AS"
15.02.2021;BICO Group AB;"Verso Capital Oy; Innovestor Oy; Finnvera Venture Capital"
10.02.2021;Hawk Invest AS;"Magnus KS Andersen (Private Individual); Thomas Bergqvist (Private Investor)"
10.02.2021;Treville & Co. A/S;EQT Partners AB
03.02.2021;The North Alliance AS;Oakwood Creative AB
03.02.2021;Nordic Capital;"Krasse & Co AB; Four Elements AB"
02.02.2021;Open Air Group AB;"Lars Lindgren (Private Investor); Theodor Storm (Privte Investor); Gerard De Geer (Privte Investor); Sormlandsfonden AB"
